1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
557, forest, minecraft:dark_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
558, forest, minecraft:dark_forest, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
559, forest, minecraft:dark_forest, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
560, forest, minecraft:dark_forest, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
561, forest, minecraft:dark_forest, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
562, forest, minecraft:dark_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
563, forest, minecraft:dark_forest, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
564, forest, minecraft:dark_forest, CREATURE, minecraft:sheep, 12, 4, 4
565, forest, minecraft:dark_forest, CREATURE, minecraft:pig, 10, 4, 4
566, forest, minecraft:dark_forest, CREATURE, minecraft:chicken, 10, 4, 4
567, forest, minecraft:dark_forest, CREATURE, minecraft:cow, 10, 4, 4
568, forest, minecraft:dark_forest, CREATURE, hexerei:crow, 20, 2, 5
569, forest, minecraft:dark_forest, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
570, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
571, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
572, forest, minecraft:dark_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
573, forest, minecraft:dark_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
574, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:spider, 80, 4, 4
575, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
576, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
577, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
578, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
579, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:slime, 80, 4, 4
580, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
581, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:witch, 5, 1, 1
582, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
583, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
584, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
585, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
586, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
587, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
588, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
589, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
590, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
591, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
592, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
593, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
594, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
595, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
596, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
597, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
598, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
599, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
600, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
601, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
602, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
603, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
604, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
605, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
606, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
607, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
608, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
609, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
610, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
611, forest, minecraft:old_growth_birch_forest, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
612, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
613, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:pig, 10, 4, 4
614, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
615, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:cow, 10, 4, 4
616, forest, minecraft:old_growth_birch_forest, CREATURE, hexerei:crow, 20, 2, 5
617, forest, minecraft:old_growth_birch_forest, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
618, forest, minecraft:old_growth_birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
619, forest, minecraft:old_growth_birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
620, forest, minecraft:old_growth_birch_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
621, forest, minecraft:old_growth_birch_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
622, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:spider, 80, 4, 4
623, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:zombie, 80, 4, 4
624, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:zombie_villager, 25, 1, 1
625, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
626, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:slime, 80, 4, 4
627, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:enderman, 5, 1, 4
628, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:witch, 5, 1, 1
629, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
630, taiga, minecraft:old_growth_pine_taiga, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
631, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
632, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
633, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
634, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
635, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
636, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
637, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
638, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
639, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
640, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
641, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
642, taiga, minecraft:old_growth_pine_taiga, MONSTER, creeperoverhaul:spruce_creeper, 75, 2, 2
643, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
644, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
645, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
646, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
647, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
648, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
649, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
650, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
651, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
652, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
653, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
654, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
655, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
656, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
657, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
658, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
659, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
660, taiga, minecraft:old_growth_pine_taiga, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
661, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:sheep, 12, 4, 4
662, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:pig, 10, 4, 4
663, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:chicken, 10, 4, 4
664, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:cow, 10, 4, 4
665, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:wolf, 10, 4, 4
666, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:rabbit, 10, 2, 3
667, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:fox, 10, 2, 4
668, taiga, minecraft:old_growth_pine_taiga, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
669, taiga, minecraft:old_growth_pine_taiga, AMBIENT, minecraft:bat, 10, 8, 8
670, taiga, minecraft:old_growth_pine_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
671, taiga, minecraft:old_growth_pine_taiga, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
672, taiga, minecraft:old_growth_pine_taiga, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
673, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:spider, 80, 4, 4
674, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:zombie, 80, 4, 4
675, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
676, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
677, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:slime, 80, 4, 4
678, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:enderman, 5, 1, 4
679, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:witch, 5, 1, 1
680, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
681, taiga, minecraft:old_growth_spruce_taiga, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
682, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
683, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
684, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
685, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
686, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
687, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
688, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
689, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
690, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
691, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
692, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
693, taiga, minecraft:old_growth_spruce_taiga, MONSTER, creeperoverhaul:spruce_creeper, 75, 2, 2
694, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
695, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
696, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
697, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
698, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
699, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
700, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
701, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
702, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
703, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
704, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
705, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
706, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
707, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
708, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
709, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
710, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
711, taiga, minecraft:old_growth_spruce_taiga, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
712, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:sheep, 12, 4, 4
713, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:pig, 10, 4, 4
714, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:chicken, 10, 4, 4
715, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:cow, 10, 4, 4
716, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:wolf, 10, 4, 4
717, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:rabbit, 10, 2, 3
718, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:fox, 10, 2, 4
719, taiga, minecraft:old_growth_spruce_taiga, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
720, taiga, minecraft:old_growth_spruce_taiga, AMBIENT, minecraft:bat, 10, 8, 8
721, taiga, minecraft:old_growth_spruce_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
722, taiga, minecraft:old_growth_spruce_taiga, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
723, taiga, minecraft:old_growth_spruce_taiga, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
724, taiga, minecraft:taiga, MONSTER, minecraft:spider, 80, 4, 4
725, taiga, minecraft:taiga, MONSTER, minecraft:zombie, 80, 4, 4
726, taiga, minecraft:taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
727, taiga, minecraft:taiga, MONSTER, minecraft:skeleton, 80, 4, 4
728, taiga, minecraft:taiga, MONSTER, minecraft:slime, 80, 4, 4
729, taiga, minecraft:taiga, MONSTER, minecraft:enderman, 5, 1, 4
730, taiga, minecraft:taiga, MONSTER, minecraft:witch, 5, 1, 1
731, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
732, taiga, minecraft:taiga, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
733, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
734, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
735, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
736, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
737, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
738, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
739, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
740, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
741, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
742, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
743, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
744, taiga, minecraft:taiga, MONSTER, creeperoverhaul:spruce_creeper, 75, 2, 2
745, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
746, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
747, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
748, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
749, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
750, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
751, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
752, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
753, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
754, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
755, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
756, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
757, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
758, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
759, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
760, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
761, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
762, taiga, minecraft:taiga, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
763, taiga, minecraft:taiga, CREATURE, minecraft:sheep, 12, 4, 4
764, taiga, minecraft:taiga, CREATURE, minecraft:pig, 10, 4, 4
765, taiga, minecraft:taiga, CREATURE, minecraft:chicken, 10, 4, 4
766, taiga, minecraft:taiga, CREATURE, minecraft:cow, 10, 4, 4
767, taiga, minecraft:taiga, CREATURE, minecraft:wolf, 10, 4, 4
768, taiga, minecraft:taiga, CREATURE, minecraft:rabbit, 10, 2, 3
769, taiga, minecraft:taiga, CREATURE, minecraft:fox, 10, 2, 4
770, taiga, minecraft:taiga, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
771, taiga, minecraft:taiga, AMBIENT, minecraft:bat, 10, 8, 8
772, taiga, minecraft:taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
773, taiga, minecraft:taiga, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
774, taiga, minecraft:taiga, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
775, taiga, minecraft:snowy_taiga, MONSTER, minecraft:spider, 80, 4, 4
776, taiga, minecraft:snowy_taiga, MONSTER, minecraft:zombie, 80, 4, 4
777, taiga, minecraft:snowy_taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
778, taiga, minecraft:snowy_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
779, taiga, minecraft:snowy_taiga, MONSTER, minecraft:slime, 80, 4, 4
780, taiga, minecraft:snowy_taiga, MONSTER, minecraft:witch, 5, 1, 1
781, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
782, taiga, minecraft:snowy_taiga, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
783, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
784, taiga, minecraft:snowy_taiga, MONSTER, endermanoverhaul:snowy_enderman, 10, 1, 4
785, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
786, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
787, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
788, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
789, taiga, minecraft:snowy_taiga, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 4
790, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
791, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
792, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
793, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
794, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
795, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
796, taiga, minecraft:snowy_taiga, MONSTER, creeperoverhaul:spruce_creeper, 75, 2, 2
797, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
798, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
799, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
800, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
801, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
802, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
803, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
804, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
805, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
806, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
807, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
808, taiga, minecraft:snowy_taiga, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
809, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
810, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
811, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
812, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
813, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
814, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
815, taiga, minecraft:snowy_taiga, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
816, taiga, minecraft:snowy_taiga, CREATURE, minecraft:sheep, 12, 4, 4
817, taiga, minecraft:snowy_taiga, CREATURE, minecraft:pig, 10, 4, 4
818, taiga, minecraft:snowy_taiga, CREATURE, minecraft:chicken, 10, 4, 4
819, taiga, minecraft:snowy_taiga, CREATURE, minecraft:cow, 10, 4, 4
820, taiga, minecraft:snowy_taiga, CREATURE, minecraft:wolf, 10, 4, 4
821, taiga, minecraft:snowy_taiga, CREATURE, minecraft:rabbit, 10, 2, 3
822, taiga, minecraft:snowy_taiga, CREATURE, minecraft:fox, 10, 2, 4
823, taiga, minecraft:snowy_taiga, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
824, taiga, minecraft:snowy_taiga, AMBIENT, minecraft:bat, 10, 8, 8
825, taiga, minecraft:snowy_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
826, taiga, minecraft:snowy_taiga, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
827, taiga, minecraft:snowy_taiga, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
